Train	Interpolation
0.001084222113186334	0.0010977799680587173
0.47370036890676426	0.5442981922056032
0.0002941998172494659	0.0003445243999315364
0.0006693879109382101	0.0007323991020747531
0.0005514825816202801	0.0006017338510292572
	
	
0.017348345367222944	0.020935995255685437
0.0003879883629791414	0.0003904237903369833
	
	
	
	
	
0.00029610580209766814	0.00032771597772872943
	
	
	
	
0.00470162882683684	0.0056598079900075
	
	
0.0330888017880982	0.04172385278811565
0.011332682903577255	0.012601520636684373
	
0.38454507791546655	0.4521483155431715
0.0068308364472008335	0.007400006476684396
	
0.00012914146773454482	0.00013492211205660168
0.010198211586075387	0.013102307228543192
	
0.0006991696934694009	0.0007638038402623923
	
	
0.00033837738135961414	0.00036426833250291024
	
0.0005809377131564486	0.0007868626618775949
0.002039879802878211	0.0022787379349720025
0.000744720819280964	0.0008053419276897059
	
0.00026655308234654895	0.00026961908365972533
	
	
0.0005305510622261478	0.00053577256016459
	
	
	
	
	
0.0009665058912170954	0.0010264547724941398
