Train	Interpolation
0.0037369277675504547	0.004021749903489824
0.005821988967117012	0.0059824705446447825
0.004534527906409435	0.004949800911087532
0.007869901851052272	0.008075504630678647
0.004757735811895547	0.005164193487298702
0.008910196224424943	0.009142616284067345
0.004662557023049016	0.005058684511251823
0.00441701608885463	0.004645344729766734
0.0024220698975131183	0.0026382645987438605
0.004667753487607904	0.005092442788005354
0.0033720510764015748	0.003652772986291903
0.00234137398689003	0.0025567975043886124
0.004324142488737711	0.004676312206453029
0.005816594766109157	0.0060325529778801
0.0034086291881236493	0.003745079668600634
0.00536985486142173	0.005695136492740823
0.002988843787638404	0.003115683576105883
0.005665646582020037	0.005962125974713514
0.007724928085694391	0.00798398308146979
0.004350489051721765	0.004708111779398475
0.002468042564345094	0.002699621481135651
0.00491836025768953	0.00536172949563168
0.00208885887183437	0.002246932168996797
0.007981365669210167	0.008445684058787779
0.007903733923892733	0.008237556912051847
0.004240035752382673	0.00462581333430799
0.002204491638105127	0.002440384138143741
0.002151921456288708	0.002267907430576712
0.004923447689134613	0.005253418313069758
0.0035379072634765724	0.0038583835892780395
0.0020335964713398547	0.002193186719273933
0.0087739500566946	0.009271497667323943
0.004686441755728207	0.005079830106910718
0.0028239423597646333	0.003096323055343847
0.004580012283928842	0.00487472564995342
0.004844760622552402	0.005123932771761915
0.0071180460046127575	0.0074531061730893355
0.0030566635062941605	0.0033078814919119083
0.003336693885971323	0.003656217289434352
0.002706013726283818	0.002885175266962969
0.001363437784106075	0.001443259765222338
0.002529471427298047	0.0026298151023966205
0.002283614394350522	0.0023417329864271305
0.003964969470094592	0.004322468266361783
0.008051046470660609	0.008339078274047462
0.0026621058343846956	0.002918744298625267
0.0020926845716056795	0.0022866531095039103
0.0077514410370743084	0.008091293656261562
0.004867517057114398	0.005296931009986013
0.003784494257344706	0.004110593837779651
0.006027023679178764	0.006264054510481986
0.001536367285696133	0.0016921579100437332
0.0035044204461502997	0.0037862895169041588
0.008850717491008983	0.009133553287666974
0.007059075825270456	0.00725828492900873
0.008304331330437589	0.008676302619571821
0.0024582233931636664	0.002573438675203063
0.002522090741227015	0.0027664612348901546
0.006541726121084598	0.006719118073983121
0.0025191549195547084	0.0027469902799353275
0.0016927385523648115	0.00185227090101894
0.008490981096906347	0.00924782718110264
0.005427637967362659	0.005807077685749219
0.0029439588255316005	0.0032222749563028488
0.008294272556399456	0.008633069329842442
0.002770614689803527	0.003023090397653189
0.00432159978881885	0.004674919743889727
0.005892333291581548	0.006181873394134059
0.0017005437899398706	0.0018196403822566731
0.009074911402365406	0.009439933567003287
0.0035452943916343322	0.003825726804707472
0.0024327866189266826	0.002553631437273437
0.0023777276996358567	0.0026244182234212874
0.005284155743173288	0.005374356681832109
0.0044612299554641546	0.004830726646883133
0.0073023239952107995	0.007631641293608988
0.009231952672214484	0.009577435392330505
0.0022860040404921846	0.0025099735342530255
0.0028274555497976583	0.002942083679789279
0.002366888206355544	0.0025346860205154756
0.006352025908609149	0.006559629757257646
0.00449071556460103	0.004895036417985828
0.006373845919892307	0.006693809539984419
0.006362748246928193	0.00652173610447113
0.002355252711453151	0.00259068161091014
0.002825273053679403	0.003074002891770606
0.003018898875670431	0.0033400225961507457
0.0073625721255644126	0.007627598137524484
0.0053087773380324195	0.005788988569904359
0.005491481402299425	0.005894192338776732
0.005207644156548749	0.005674351333713378
0.0029670786398445755	0.0031295305859548894
0.007619636686323603	0.007984190900717376
0.003676180440334187	0.003794424126343027
0.005467296660668699	0.005790170010003967
0.003925378659684342	0.00428944605095193
0.007336825840211264	0.007732661998915389
0.0038685588465867866	0.004210854819677405
0.0042146699974902006	0.00462708935118257
0.004929475900423993	0.005163508030466793
